word,rank,sentence_count
accepted,2223,71
admit,2224,88
sight,2225,634
fields,2227,144
barely,2228,20
crew,2230,41
meanwhile,2231,127
charlie,2234,100
pattern,2235,33
moves,2236,16
circumstances,2238,55
somewhat,2239,142
rising,2240,83
struggle,2241,44
charged,2242,16
proper,2245,153
feature,2246,14
cat,2247,399
giant,2248,266
breaking,2249,87
sport,2250,34
removed,2251,53
thin,2254,183
grant,2256,94
False,2257,58
pop,2258,22
supported,2259,15
jeff,2260,26
saved,2261,148
remaining,2262,16
conducted,2264,10
contrast,2265,24
display,2266,22
brings,2267,52
nose,2268,361
weird,2269,18
falling,2270,102
adding,2272,26
ocean,2275,35
silence,2276,275
singing,2277,166
india,2278,35
tight,2280,91
solid,2281,42
golden,2285,386
danger,2286,218
stores,2287,17
merely,2290,114
k,2292,11
revealed,2293,28
request,2294,36
manner,2295,191
consequences,2296,26
facing,2299,15
guns,2300,59
smell,2301,92
offering,2303,31
pleasure,2304,268
metal,2305,10
fault,2306,166
suppose,2307,857
puts,2309,34
sets,2312,29
holds,2314,29
subjects,2315,53
birthday,2316,63
strike,2318,77
mix,2319,11
flow,2320,15
copy,2321,25
leg,2322,100
belief,2325,35
relative,2326,19
frequently,2327,24
dozen,2329,140
print,2330,35
reference,2333,13
flat,2334,132
excited,2335,151
donald,2336,33
mad,2337,191
estate,2338,28
observed,2340,115
stayed,2341,148
sarah,2345,42
seeking,2348,62
sale,2349,13
dreams,2350,222
powers,2351,53
tall,2352,337
harder,2355,93
ha,2356,28
louis,2357,12
paris,2358,39
buildings,2360,13
drew,2361,386
milk,2362,200
net,2365,34
flying,2366,210
recognized,2368,45
rice,2370,29
accounts,2371,35
davis,2372,52
joining,2373,10
articles,2375,10
literally,2377,10
existence,2379,54
attitude,2380,39
y,2381,107
entered,2385,217
reduced,2386,12
objects,2387,17
headed,2388,84
ladies,2389,190
jews,2393,10
relief,2394,120
papers,2395,81
vast,2397,29
finds,2398,59
feed,2401,72
woods,2402,178
escape,2403,153
ray,2405,105
length,2407,200
bird,2412,300
introduced,2414,31
completed,2418,15
dying,2420,134
enemy,2423,106
kennedy,2424,21
teeth,2431,173
perform,2432,13
eric,2433,188
upset,2434,49
cry,2437,473
stated,2438,10
tim,2439,17
inches,2440,38
perfectly,2442,275
orange,2443,19
wave,2444,53
calm,2446,119
fewer,2451,17
int,2452,14
broad,2453,149
carrying,2454,94
trail,2455,119
upper,2456,82
chose,2457,65
daniel,2458,138
loves,2459,78
wondering,2460,169
paint,2461,51
blow,2462,183
jersey,2464,20
advanced,2466,34
conclusion,2467,20
cream,2468,67
thick,2470,165
chapter,2473,433
ordered,2474,146
promised,2475,299
whenever,2476,124
birds,2478,215
bible,2479,65
rush,2480,70
suffering,2481,64
assistance,2482,17
reasonable,2483,23
duty,2486,158
circle,2487,77
shirt,2488,34
wilson,2489,28
brief,2490,54
reader,2493,18
advance,2494,18
miller,2495,79
command,2498,65
drove,2503,192
discussed,2504,16
frame,2506,34
brand,2508,24
deeply,2509,64
cutting,2511,67
hopes,2512,79
opposed,2514,14
fairly,2515,104
anger,2516,153
critics,2517,12
indicated,2518,10
mess,2519,42
weak,2523,98
bills,2524,30
armed,2525,49
journey,2526,167
fed,2531,82
twenty,2532,277
unable,2534,29
guest,2535,64
tears,2537,416
performed,2538,13
hanging,2539,162
beneath,2540,113
violent,2541,23
asks,2542,35
falls,2543,30
joke,2546,169
appearance,2547,106
jimmy,2548,471
hidden,2549,164
bond,2550,18
hide,2551,193
motion,2552,29
cheese,2553,29
capable,2555,26
appeal,2557,22
affected,2559,25
occur,2560,11
queen,2562,618
chosen,2563,66
struck,2566,266
extreme,2569,21
affairs,2571,105
express,2572,70
laid,2573,356
max,2574,42
wealth,2575,49
poverty,2577,30
engine,2579,16
spiritual,2580,10
ted,2581,104
talent,2582,34
warning,2583,70
partners,2585,11
cooking,2586,63
ages,2587,24
expressed,2588,51
noise,2589,167
jordan,2590,47
raising,2591,23
sleeping,2593,105
soil,2594,22
closely,2595,52
dollar,2596,37
nick,2598,18
re,2599,917
childhood,2600,37
rooms,2602,78
musical,2604,22
notion,2605,65
regardless,2606,15
fail,2607,89
conduct,2609,32
lesson,2612,106
turkey,2615,56
constant,2616,17
jerry,2620,461
claimed,2621,10
arrested,2622,10
plate,2623,50
drawn,2624,82
joint,2625,14
adam,2628,48
joy,2629,318
encourage,2632,11
laughing,2634,439
flowers,2635,345
sending,2637,38
susan,2638,523
pocket,2640,155
prepare,2642,46
bell,2644,252
refused,2645,120
pack,2647,107
lips,2648,252
writes,2650,27
gulf,2651,38
sharp,2652,314
andrew,2654,39
quit,2656,12
sudden,2659,259
accused,2660,18
neighbors,2662,135
beside,2663,375
hat,2664,305
shots,2665,10
orders,2667,104
pushing,2669,27
connected,2670,12
threw,2672,248
regard,2673,45
witness,2674,24
ford,2675,106
shook,2676,300
stepped,2678,146
finger,2679,126
silent,2681,182
loud,2682,152
tone,2688,323
smiled,2689,294
persons,2690,38
sentence,2691,50
taylor,2694,14
cheap,2696,28
tied,2697,133
meetings,2698,25
nervous,2699,63
surely,2700,207
immediate,2701,12
unusual,2702,66
hero,2704,71
drawing,2705,106
breakfast,2707,262
letting,2708,54
bedroom,2710,39
customer,2711,11
spanish,2712,10
joseph,2713,53
sing,2714,212
dressed,2716,203
split,2717,46
explanation,2718,30
bottle,2719,75
mirror,2720,73
studied,2721,41
kiss,2722,153
manage,2723,111
colors,2724,17
atmosphere,2728,38
extended,2730,16
fruit,2731,108
mixed,2732,43
secure,2737,18
bread,2739,207
holiday,2742,35
memories,2744,23
constantly,2745,33
severe,2748,21
mail,2749,39
heaven,2751,237
earned,2753,32
convinced,2754,36
engaged,2760,94
faced,2761,78
practical,2762,27
formed,2763,35
remembered,2765,297
dust,2769,123
hired,2770,85
chain,2773,64
description,2775,24
row,2776,98
pure,2779,95
steel,2780,39
fixed,2781,82
narrative,2782,10
proof,2783,52
goods,2784,24
kick,2785,45
incident,2786,15
prefer,2787,35
entertainment,2789,10
recall,2790,17
improved,2791,37
pink,2793,152
enjoyed,2795,140
dick,2799,699
elsewhere,2800,42
represented,2801,15
waited,2802,250
dave,2803,23
blind,2804,119
argued,2805,31
carter,2810,28
follows,2811,17
eggs,2814,219
staying,2815,42
begun,2816,123
howard,2817,20
weapon,2818,12
principle,2820,18
stronger,2822,75
destroyed,2824,24
minds,2826,56
sought,2828,68
judgment,2830,71
owned,2833,35
crying,2838,273
resolution,2839,23
innocent,2840,116
trained,2842,29
fifth,2844,27
depends,2845,30
posts,2848,13
strongly,2849,31
destroy,2853,28
disaster,2854,11
co,2857,14
billy,2858,771
rarely,2859,12
enormous,2860,34
returns,2861,14
valuable,2862,24
volume,2863,20
iron,2864,148
shoulders,2865,147
laughed,2867,669
channel,2868,17
academy,2874,26
principal,2875,12
wet,2876,132
ill,2877,267
platform,2880,51
junior,2882,17
invited,2883,105
elizabeth,2885,69
messages,2887,19
narrow,2888,99
lessons,2891,98
harm,2892,217
tip,2896,60
ticket,2897,26
wondered,2899,216
dirty,2900,69
shock,2908,67
retired,2909,46
signal,2910,25
wore,2911,204
mountains,2912,44
loose,2914,78
equally,2915,29
prince,2916,984
height,2919,25
jane,2922,349
farmers,2923,18
landscape,2924,21
nodded,2926,122
babies,2927,135
rid,2931,81
speaker,2933,14
suffered,2934,78
mothers,2935,64
attend,2936,75
ear,2937,191
fishing,2938,125
breast,2940,116
defend,2941,21
dramatic,2946,20
attempts,2947,12
perceived,2948,33
barbara,2951,11
directed,2952,16
deliver,2954,32
proposal,2955,29
smoking,2956,31
locked,2959,101
voices,2960,111
desert,2961,49
roof,2963,133
driven,2964,87
fought,2966,80
arguments,2967,20
formal,2970,10
roger,2971,174
tie,2979,82
pulling,2980,74
grab,2982,10
nights,2983,117
approved,2985,14
guests,2988,93
solve,2989,15
inspired,2990,27
moreover,2991,58
ordinary,2992,41
sand,2995,123
cable,2996,10
ending,2997,22
yard,2998,187
fiction,2999,10
grass,3000,279
passion,3001,64
visitors,3002,30
helpful,3004,15
jason,3007,50
adopted,3009,26
experiment,3013,36
nurse,3019,126
walks,3022,40
seats,3023,25
ears,3024,303
comfort,3025,249
meal,3029,122
collected,3031,23
odd,3032,125
confirmed,3033,11
personality,3034,21
delivered,3035,29
settled,3038,185
burning,3041,113
fallen,3043,181
clark,3045,51
knife,3048,111
avenue,3049,31
rolling,3050,64
exact,3053,20
profit,3056,18
loan,3057,13
exciting,3058,60
gap,3059,23
wanting,3060,40
navy,3062,16
lovely,3063,417
lets,3065,27
properly,3066,74
asia,3072,17
informed,3079,31
pat,3080,80
visible,3081,49
chances,3082,25
heavily,3083,54
crash,3084,27
touched,3085,178
serves,3086,23
deserve,3087,52
latter,3088,94
hurry,3090,251
butter,3091,73
lewis,3092,22
bone,3093,57
receiving,3094,21
independence,3096,11
controlled,3101,10
intense,3104,26
ideal,3105,29
entry,3106,22
italian,3107,15
anderson,3108,24
plain,3109,243
counter,3111,13
commander,3113,13
hung,3115,220
burn,3116,65
closing,3120,19
worker,3124,18
pepper,3128,13
tries,3134,30
proved,3138,77
nowhere,3139,71
lincoln,3140,19
shame,3141,122
hungry,3143,271
reserve,3147,16
shadow,3150,337
checked,3152,25
aspect,3153,36
granted,3154,39
bags,3155,32
ridiculous,3158,67
coat,3159,293
festival,3160,15
hunt,3161,170
sensitive,3163,32
simon,3164,35
cloud,3168,112
scenes,3169,16
roughly,3171,19
bruce,3173,42
reputation,3175,35
responded,3176,40
sits,3178,35
switch,3179,15
bye,3181,108
unknown,3182,44
mystery,3185,93
opens,3186,24
britain,3187,18
awful,3189,305
wins,3191,11
cake,3194,186
kim,3196,490
sons,3197,116
lisa,3198,15
repeat,3199,29
drunk,3200,60
inner,3202,27
darkness,3203,149
bureau,3206,14
pride,3208,165
royal,3209,110
stomach,3210,130
discovery,3211,39
waves,3216,72
seasons,3218,19
approval,3219,16
portion,3221,30
destruction,3222,17
threatened,3224,22
dancing,3225,118
hills,3226,201
opinions,3227,19
prayer,3228,116
smooth,3229,83
lift,3234,68
absence,3236,51
friendly,3237,125
allen,3239,29
suffer,3240,80
rough,3241,122
contain,3242,14
raw,3243,24
launched,3244,14
skill,3246,58
visited,3247,56
horrible,3249,88
christians,3250,12
obtained,3252,16
declared,3253,186
latin,3254,31
repeated,3256,113
mood,3260,52
returning,3261,49
gentlemen,3262,93
swing,3263,23
liberty,3264,38
pace,3266,40
studying,3267,55
button,3268,23
denied,3270,27
pan,3271,83
compare,3272,13
anxiety,3274,45
referred,3275,13
naturally,3276,66
emphasis,3279,17
hopefully,3280,18
deeper,3282,38
throat,3283,138
forgotten,3284,327
combat,3286,12
angel,3288,53
sisters,3290,140
sake,3291,238
spoken,3292,163
blocks,3293,10
apparent,3294,14
brilliant,3295,70
knees,3296,150
stephen,3297,161
profile,3298,12
honestly,3300,44
saving,3302,29
admitted,3305,110
hunting,3306,227
nancy,3308,66
wisdom,3310,76
marry,3313,474
throwing,3314,78
divided,3315,30
column,3316,15
stretch,3317,45
bears,3319,26
amy,3320,393
struggling,3326,30
reaching,3327,26
sauce,3328,18
waters,3330,69
picking,3331,53
precisely,3335,21
passage,3336,41
alan,3337,368
illness,3339,25
curious,3340,150
plot,3341,45
hoped,3342,145
sighs,3343,13
passes,3344,22
bones,3345,141
examine,3346,34
improvement,3349,27
corn,3350,138
gathered,3353,122
juice,3354,13
grandmother,3355,147
confused,3356,33
pot,3359,76
sandy,3363,37
clock,3364,204
household,3365,55
harris,3367,12
occasionally,3370,38
hitting,3371,15
mistakes,3372,44
chocolate,3378,19
bobby,3379,123
speaks,3381,28
cap,3382,165
egg,3383,158
traveling,3385,14
foster,3388,35
riding,3390,69
empire,3394,13
laughter,3398,172
egypt,3401,15
assumed,3403,23
rescue,3405,40
marked,3406,43
surprising,3407,29
deaths,3411,10
terror,3412,90
kate,3415,136
anthony,3416,43
thrown,3418,104
addressed,3419,41
forgot,3420,325
fred,3421,82
stable,3423,82
regularly,3424,30
cups,3428,20
roads,3430,48
roman,3431,25
gate,3432,324
staring,3433,102
covering,3434,15
tracks,3438,61
canadian,3440,22
earn,3442,62
clothing,3443,11
lifetime,3447,16
generations,3450,18
testimony,3451,10
discover,3453,59
load,3454,45
phil,3455,148
branch,3456,104
attended,3458,36
eve,3461,41
absolute,3470,10
sheet,3472,38
jacket,3474,25
fig,3476,10
danny,3481,319
warming,3482,10
flag,3484,38
sin,3485,53
screaming,3487,48
difficulty,3489,58
pray,3492,169
rapidly,3493,54
ross,3494,17
lock,3499,64
vacation,3500,64
burned,3501,109
dirt,3503,23
asleep,3504,342
fort,3505,10
bother,3506,78
prize,3507,57
extraordinary,3508,25
painted,3509,82
breathing,3510,27
threats,3511,10
recommend,3512,11
buried,3513,130
roots,3515,72
creek,3519,26
port,3520,16
soldier,3521,62
pointing,3522,66
encouraged,3523,17
keys,3525,18
bars,3526,28
dozens,3529,15
hire,3530,15
thirty,3531,99
searching,3532,19
disappeared,3533,181
attacked,3537,10
exception,3538,11
breaks,3542,17
moore,3543,85
supplies,3544,12
belt,3545,57
examined,3550,39
wheel,3551,58
mile,3554,61
wing,3556,60
horses,3557,203
rocks,3559,114
steady,3561,68
weekly,3563,16
nevertheless,3564,78
wash,3567,96
burden,3568,51
stream,3569,102
marks,3570,33
differently,3572,18
knee,3573,67
bound,3576,202
chase,3578,47
mixture,3579,17
covers,3581,11
associate,3582,16
rolled,3584,163
jay,3586,290
rachel,3588,229
shake,3589,104
jumped,3590,195
quietly,3591,199
emerged,3594,16
attached,3596,23
remind,3597,32
kingdom,3598,112
sounded,3599,145
gained,3600,32
presents,3601,39
edward,3602,52
gallery,3604,18
injured,3605,28
flash,3607,95
beings,3610,25
wise,3611,235
laughs,3613,27
shortly,3614,47
ugly,3615,198
root,3616,29
walter,3617,334
stared,3618,164
remarkable,3620,41
protest,3621,29
naked,3622,36
sufficient,3625,19
tower,3627,73
counsel,3628,54
visiting,3632,33
declined,3641,16
introduction,3644,11
holes,3645,52
neighbor,3646,46
handed,3649,85
indians,3650,22
fate,3651,112
dialogue,3653,16
ma,3654,262
impression,3656,51
ate,3658,182
crossed,3659,86
attractive,3660,11
fool,3661,221
remote,3663,20
crack,3664,44
newly,3665,23
silly,3666,146
glasses,3667,32
odds,3668,23
hearts,3669,147
barry,3670,124
italy,3672,10
wolf,3674,143
emotions,3677,15
iii,3679,26
humor,3680,31
moderate,3686,10
badly,3687,113
mere,3690,114
literary,3691,16
concluded,3692,111
pitch,3693,35
hiding,3695,159
desperate,3697,52
distant,3698,62
settle,3701,89
tasks,3704,17
conversations,3705,11
muscle,3708,15
surrounded,3709,50
frozen,3710,37
warned,3712,73
loving,3714,89
movements,3715,10
lifted,3717,215
temple,3726,52
stairs,3732,119
johnny,3733,386
pleased,3734,306
newspapers,3735,19
affair,3739,117
tables,3742,13
gang,3743,14
trick,3744,95
contained,3747,34
smiling,3748,475
employed,3753,20
permission,3754,48
boots,3757,93
mount,3760,43
romantic,3763,111
poetry,3765,77
payment,3770,15
convince,3772,20
reminded,3773,35
directions,3774,50
decent,3775,58
superior,3776,23
belong,3778,82
settlement,3779,20
wooden,3780,50
drives,3781,10
uniform,3784,16
centuries,3785,13
arrive,3787,22
concerning,3789,30
dawn,3791,112
frankly,3793,43
singer,3797,19
factory,3799,15
lieutenant,3800,14
wire,3804,48
instant,3805,166
ships,3806,61
attempted,3807,18
ease,3811,52
daughters,3813,73
anna,3815,64
hence,3816,23
deny,3817,36
establishment,3818,13
collect,3819,22
stolen,3821,80
rent,3822,28
concert,3823,65
fancy,3825,267
preparing,3827,31
painful,3828,33
nursing,3830,11
enemies,3832,62
ambassador,3833,29
tongue,3834,287
lane,3835,191
grounds,3836,28
courage,3838,153
bonds,3839,10
boxes,3840,27
allies,3841,11
laura,3846,25
consideration,3849,11
flesh,3850,48
rejected,3851,12
successfully,3852,11
knock,3854,49
cousin,3858,341
intent,3860,24
rob,3863,99
relation,3867,17
happiness,3868,171
discipline,3869,10
scholars,3878,17
ceiling,3881,22
races,3882,14
tommy,3883,275
matthew,3884,258
producing,3886,12
shower,3887,36
palm,3888,26
morgan,3890,90
furniture,3891,45
imagined,3892,51
beating,3893,71
expecting,3894,72
monster,3895,62
grateful,3898,111
greek,3899,26
warren,3901,28
fifty,3902,98
balls,3904,16
packed,3906,41
spots,3907,46
tremendous,3908,40
aim,3909,24
significance,3911,15
wealthy,3915,23
gifts,3919,54
imagination,3920,90
vegetables,3921,16
baker,3922,35
wound,3926,71
lately,3927,67
entering,3930,27
funeral,3937,67
grandfather,3940,736
fears,3941,28
fame,3942,27
fortune,3944,121
bite,3947,76
landing,3949,34
amazon,3952,12
tale,3955,186
promises,3956,18
contrary,3959,37
pursue,3961,13
forgive,3964,217
satisfaction,3965,120
listened,3966,274
strip,3969,19
carl,3970,111
succeed,3973,47
sorts,3974,88
enterprise,3975,35
mortgage,3977,13
shore,3979,423
whoever,3981,64
gates,3982,64
preparation,3984,11
engagement,3986,29
hunter,3987,207
pressed,3989,56
obtain,3991,10
gordon,3992,106
duke,3993,47
nuts,3995,104
partly,3996,36
disappointed,3998,115
wrapped,4001,61
delay,4002,38
deck,4004,49
string,4006,55
hated,4008,156
gather,4010,55
wings,4013,184
chamber,4014,100
consciousness,4015,35
coal,4016,21
scope,4019,14
gently,4024,164
steal,4026,107
overcome,4029,46
kicked,4032,41
clouds,4034,78
priest,4035,119
twelve,4040,164
instrument,4041,13
candy,4042,21
instructions,4043,16
punishment,4047,77
fifteen,4048,112
intelligent,4053,18
distinct,4055,15
tragedy,4056,33
insisted,4058,72
rapid,4064,13
springs,4068,18
mutual,4073,20
dish,4082,36
shelter,4084,57
liquid,4088,11
bench,4089,56
handful,4091,40
couch,4092,15
russell,4096,16
cleaning,4098,29
discussing,4099,14
entrance,4100,62
disorder,4102,12
salary,4105,22
dates,4108,30
swear,4111,62
ken,4115,63
reflected,4120,67
refer,4122,10
arthur,4124,37
breathe,4126,28
drinks,4127,12
seed,4128,37
fence,4134,118
homeless,4136,10
uncomfortable,4138,93
stewart,4139,25
en,4140,16
dining,4141,45
gathering,4142,44
oven,4145,49
devil,4149,98
shell,4150,63
encounter,4155,12
ghost,4156,132
alice,4157,390
trials,4158,25
investigate,4160,14
shocked,4161,43
climb,4162,108
leather,4163,35
considerable,4170,26
approached,4171,46
visits,4173,31
sacrifice,4180,43
seeds,4181,30
dumb,4183,49
pretend,4185,63
lands,4187,49
hook,4190,162
observation,4191,11
introduce,4192,26
greatly,4193,81
preferred,4195,29
midnight,4202,70
rear,4204,32
refuse,4207,75
bloody,4208,11
upstairs,4210,128
frequent,4211,29
perry,4212,15
elderly,4214,20
deer,4216,132
maria,4219,50
trash,4220,12
sooner,4222,171
christopher,4225,54
swimming,4226,67
chart,4228,15
giants,4230,40
wallace,4233,21
chuck,4234,339
failing,4237,15
stake,4240,32
idiot,4242,29
horror,4245,108
leaned,4247,101
ruled,4248,37
relatives,4249,49
ward,4250,41
fathers,4252,20
embrace,4255,17
adams,4257,14
slide,4259,50
accomplished,4262,30
sweat,4263,12
pale,4265,334
alexander,4268,62
robin,4270,35
stir,4271,59
brush,4273,68
sink,4275,25
pet,4277,75
secrets,4279,42
shaking,4280,120
reliable,4284,11
cares,4285,35
striking,4288,39
briefly,4293,24
genius,4294,39
owe,4296,46
craft,4298,18
soup,4299,38
chairs,4301,29
guards,4302,37
profession,4303,14
confusion,4305,35
existed,4306,14
backed,4307,35
devoted,4308,45
stem,4310,19
choosing,4311,20
explaining,4314,13
filling,4315,35
landed,4319,58
impressed,4320,40
towns,4322,10
guidance,4323,10
islands,4324,12
stranger,4328,314
ceremony,4329,41
pie,4332,61
adventure,4333,86
depend,4334,53
sacred,4335,54
grave,4338,189
friendship,4342,101
tobacco,4343,39
slept,4344,177
pa,4348,88
precious,4351,121
sixth,4356,16
murdered,4359,22
bin,4360,26
wherever,4361,67
rings,4363,40
expense,4364,13
dig,4366,58
olive,4368,19
traveled,4369,19
scandal,4370,14
occasion,4371,73
reply,4372,154
scheme,4373,30
thread,4374,39
spin,4376,36
preserve,4380,17
gradually,4384,36
cents,4386,35
flew,4388,444
saint,4389,33
actress,4392,13
meals,4394,47
racing,4395,22
wounded,4398,53
drops,4400,48
charity,4409,40
reads,4411,13
beans,4412,22
yo,4413,134
separated,4417,24
stopping,4418,61
acquired,4421,27
eager,4424,117
counting,4425,36
sue,4426,21
suspected,4430,68
inch,4431,40
globe,4435,11
emily,4437,85
cotton,4438,44
parker,4440,21
possibilities,4441,12
mac,4443,51
tail,4444,433
difficulties,4447,25
satisfied,4449,182
threatening,4453,14
bull,4457,108
lawrence,4458,56
maps,4460,10
dishes,4462,93
panic,4464,23
ours,4465,76
abroad,4469,73
charlotte,4471,107
slip,4472,91
chronic,4473,12
pile,4474,125
fascinating,4476,36
knocked,4477,115
slipped,4479,218
permit,4480,25
beef,4481,12
reflection,4482,48
boards,4484,25
mitchell,4485,27
prisoners,4488,21
dare,4489,284
blew,4490,117
lowest,4495,12
dropping,4499,51
helen,4500,136
thanksgiving,4505,30
margaret,4510,174
colonel,4511,69
appointed,4513,38
bullet,4517,14
glory,4518,66
princess,4519,684
woke,4521,108
feeding,4526,32
unexpected,4527,50
rome,4528,47
poem,4530,34
annie,4536,56
bent,4538,140
flood,4539,27
intention,4540,42
consent,4542,66
gaze,4546,44
yield,4548,24
symbol,4549,10
examination,4551,26
cabinet,4552,11
robinson,4555,28
clay,4556,41
physician,4558,20
exhibition,4559,18
inspiration,4560,31
oldest,4561,55
closet,4563,53
marshall,4565,119
shadows,4566,158
brave,4567,202
acknowledged,4570,21
loaded,4571,31
modest,4572,23
pays,4573,16
encouraging,4574,13
carries,4575,21
lit,4577,53
worlds,4581,14
bare,4582,125
doc,4583,10
roy,4584,49
creature,4585,277
winds,4588,150
overseas,4594,14
healing,4596,19
creatures,4597,121
powder,4599,31
goodbye,4602,21
jesse,4605,37
rev,4606,19
cooper,4610,15
borders,4613,10
deadly,4619,27
drag,4622,34
cliff,4623,22
apologize,4624,13
spare,4628,137
stroke,4633,41
bid,4636,76
cure,4637,68
resolve,4638,13
log,4642,96
celebration,4645,10
judy,4648,14
genuine,4649,20
intensity,4650,16
suits,4654,40
tear,4655,96
theatre,4658,14
habit,4660,115
potatoes,4663,40
slight,4664,57
alongside,4665,12
turner,4667,16
gods,4670,93
cats,4673,121
wright,4674,28
lemon,4676,11
carol,4677,27
harbor,4678,101
sheets,4679,26
announcement,4680,14
practically,4683,21
trace,4684,48
porch,4686,73
enjoying,4687,82
underground,4688,18
praise,4690,45
rank,4692,25
stole,4694,125
peoples,4696,10
piano,4699,29
endless,4700,15
buck,4701,16
worn,4703,124
chips,4704,22
promising,4705,29
venture,4706,39
composition,4712,17
containing,4716,14
lonely,4717,206
reward,4719,103
explosion,4725,14
smiles,4728,34
bitter,4729,169
attending,4732,20
horizon,4734,22
peaceful,4735,38
mouse,4737,355
jean,4738,46
pen,4744,77
amber,4747,18
lean,4749,39
crystal,4750,41
cleared,4756,70
douglas,4757,127
slave,4758,59
arrival,4759,36
artistic,4761,14
stones,4762,144
invisible,4766,29
prospect,4767,72
wages,4769,23
recalled,4781,37
subtle,4783,14
toys,4789,19
pause,4791,69
excitement,4792,164
possession,4793,72
burst,4795,163
circles,4797,13
traditions,4798,17
twin,4803,60
ronald,4805,13
baking,4808,19
habits,4811,30
shed,4812,85
emotion,4813,29
transformation,4814,16
gravity,4818,10
heroes,4819,23
branches,4822,81
meets,4823,18
glanced,4824,84
victor,4825,37
evident,4832,45
fires,4834,25
angels,4835,26
spell,4836,118
invite,4842,42
mate,4845,59
purple,4849,133
punch,4851,10
relate,4852,16
attracted,4853,24
lawn,4855,61
farther,4856,147
crossing,4857,35
jokes,4858,32
occasional,4859,22
flavor,4860,11
scholarship,4872,14
cabin,4874,33
worthy,4875,65
alarm,4877,53
wishes,4878,101
remarks,4879,44
resist,4881,39
jacob,4885,68
joins,4887,13
bow,4890,138
flower,4892,164
attract,4893,12
plates,4897,26
dispute,4900,15
classical,4903,10
disappear,4906,30
complain,4908,48
desired,4909,60
miracle,4910,42
privilege,4912,17
struggled,4913,39
anchor,4915,24
regarded,4917,29
sum,4918,22
reminds,4920,33
pound,4921,20
regret,4922,56
printed,4923,27
sergeant,4924,13
campbell,4925,79
whispered,4928,343
noon,4929,60
tap,4930,18
generous,4935,39
handled,4937,11
pleasant,4939,346
crown,4940,89
shops,4941,12
cruise,4944,11
insane,4947,10
jamie,4951,15
tune,4952,24
sword,4953,254
firing,4955,11
adopt,4956,13
wrap,4957,10
mathematics,4961,14
handsome,4962,303
rivers,4968,17
deserves,4977,29
conscious,4979,52
divide,4980,17
collins,4981,16
touching,4982,47
gentle,4990,153
demanded,4994,97
beast,4995,115
lucy,4996,53
tag,5000,13
observe,5001,24
martha,5005,82
wider,5006,13
caring,5010,21
backs,5011,41
goodness,5012,86
parliament,5013,10
clue,5014,10
burns,5016,11
provisions,5018,11
dried,5021,51
toilet,5024,14
suggestion,5028,29
jose,5029,13
approaching,5032,45
hers,5033,143
legend,5035,16
addressing,5037,27
duties,5040,38
wheels,5041,35
awake,5047,118
bits,5050,60
